Acc	Results	Terms	ReleaseDate	Taxa	Platforms	AllPlatformsInGemma	Affy	NumSamples	Type	SuperSeries	SubSeriesOf	PubMed	Title	Summary	MeSH	SampleTerms
GSE180821	False	[]	2021.07.27	Mus musculus	GPL24247	True	False	1	Expression profiling by high throughput sequencing	False			Single-Cell RNA Sequencing of Mouse Left Ventricle Reveals Cellular Diversity and Intercommunication	Previous studies have revealed the diversity of the whole cardiac cellulome but not refined the left ventricle, which is essential for finding therapeutic targets. Here, we characterized single-cell transcriptional profiles of the mouse left ventricular cellular landscape using single-cell RNA sequencing (10×Genomics). Detailed t-Distributed Stochastic Neighbor Embedding (tSNE) analysis revealed the cell types of left ventricle with gene markers. Left ventricular cellulome contained cardiomyocytes highly expressed Trdn, endothelial cells highly expressed Pcdh17, fibroblast highly expressed Lama2 and macrophages highly expressed Hpgds, also proved by in situ hybridization. Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes pathway (KEGG) enrichment analysis (ListHits>2, p<0.05) were employed with the DAVID database to investigate subtypes of each cell type with the underlying functions of differentially expressed genes (DEGs). Endothelial cells included five subtypes, fibroblasts comprised of seven subtypes and macrophages contained eleven subtypes. The key representative DEGs (p<0.001) are Gja4 and Gja5 in cluster 3 of endothelial cells, Aqp2 and Thbs4 in cluster 2 of fibroblasts, as well as Clec4e and Trem-1 in in cluster 3 of marcophages perhaps involved in the occur of atherosclerosis, heart failure and acute myocardial infarction proved by literature review. We also revealed extensive networks of intercellular communication in left ventricle. We suggested possible therapeutic targets for cardiovascular disease and autocrine and paracrine signaling underpins left ventricular homeostasis. This study provides new insights into the structure and function of the mammalian left ventricular cellulome and offers an important resource that will stimulate studies in cardiovascular research.		left ventricle;12 weeks old;heart;C57BL/6
GSE180810	False	[]	2021.07.27	Mus musculus	GPL17021	True	False	38	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing; Other	True			Founder mice pancreatic islets and beta cells	This SuperSeries is composed of the SubSeries listed below.		NOD_ShiLtJ;pancreatic islet;PWK_PhJ;WSB_EiJ;129S1_SvImJ;Male;A_J;C57BL/6J;C57BL/6;CAST_EiJ;NZO_HlLtJ;beta cell extracted from islets;Female
GSE180786	True	[['hippocampus'], ['hippocamp', 'hippocamp'], ['hippocamp', 'hippocamp']]	2021.07.27	Mus musculus	GPL19057	True	False	12	Expression profiling by high throughput sequencing	False		34293396.0	RNA-seq analysis of mouse hippocampal gene expression changes after Gulf War toxicant exposure	Differentially expressed genes may provide insight into the underlying mechanisms of Gulf War Illness involved in neurodegeneration.		Vehicle;Gulf War toxicants;12 weeks;Hippocampus;male;C57Bl/6
GSE180771	True	[['pons'], ['satellite']]	2021.07.27	Mus musculus	GPL21626;GPL19057	True	False	15	Expression profiling by high throughput sequencing	False			Long-term maintenance of dystrophin expression and resistance to injury of skeletal muscle in gene-edited mice	Duchenne Muscular Dystrophy (DMD) is a lethal muscle disease caused by mutations in the dystrophin gene. CRISPR/Cas9 genome-editing has been used to correct DMD mutations in animal models at young ages. However, the longevity and durability of CRISPR/Cas9 editing remained to be determined. To address these issues, we subjected DEx44 DMD mice to systemic delivery of AAV9 expressing CRISPR/Cas9 gene editing components to reframe exon 45 of the dystrophin gene, allowing robust dystrophin expression and maintenance of muscle structure and function. We showed that genome correction by CRISPR/Cas9 confers lifelong expression of dystrophin in mice and that corrected skeletal muscle is highly durable and resistant to myofiber necrosis and fibrosis, even in response to chronic injury. In contrast, when muscle fibers were ablated by barium chloride injection, satellite cells were unable to restore dystrophin expression due to restriction of gene editing components. Analysis of on-target and off-target gene editing in aged mice confirmed the stability of gene correction and the lack of significant off-target editing at 18 months of age. These findings demonstrate the long-term durability of CRISPR/Cas9 genome editing as a therapy for maintaining the integrity and function of DMD muscle, even under conditions of stress.		CRISPR-Cas9 treated delEx44;Quadriceps Muscle;delEx44;8 Weeks;4 Weeks;WT;C57BL/6
GSE180765	False	[]	2021.07.27	Homo sapiens	GPL20795	True	False	6	Expression profiling by high throughput sequencing	False			MiR-124 attenuates angiogenesis via the p38/MAPK and PI3K/AKT signaling pathways in acute myocardial infarction	Due to its rapid onset and high mortality, acute myocardial infarction (AMI) is considered as one of the most fatal diseases among heart diseases. Therefore, exploring its potential pathogenesis and developing effective treatment approaches for AMI have become a research hotspot in the medical community. In the present study, clinical blood samples from patients with AMI were analyzed and the results showed that the expression of microRNA (miR)-124 was significantly increased in peripheral blood of patients with AMI compared with healthy subjects. In addition, miR-124 overexpression notably promoted the apoptosis of HUVECs and attenuated their proliferative ability. Based on these findings, RNA from HUVECs was extracted and sequenced to investigate the changes in the gene expression profile triggered by miR-124 overexpression. The upregulated genes were enriched in several signaling pathways such as PI3K/AKT, while the downregulated ones were mainly enriched in metabolic-related signaling pathways. Additionally, the chromosomal location analysis revealed that the differentially expressed genes (DEGs) were distributed in all chromosomes, except the Y sex chromosome. Furthermore, the characteristic profile of DEGs mediated by miR-124 overexpression was analyzed via Connectivity Map analysis. The analysis revealed that anisomycin and sanguinarine, two agonists of the p38/MAPK signaling pathway involved in the inhibition of angiogenesis, exerted the highest enrichment scores. Additionally, Gene Set Enrichment Analysis demonstrated that DEGs were mainly enriched in the PI3K/AKT signaling pathway, thus inhibiting angiogenesis. Collectively, the present results indicated that miR-124 overexpression could promote AMI by affecting angiogenesis.		huvec transfect with empty plasmid;huvec transfect with micro 124 expression plasmid;HUVEC
GSE180712	False	[]	2021.07.27	Homo sapiens	GPL24676	True	False	6	Expression profiling by high throughput sequencing	False			Gene expression profiles in maspin-overexpressing RERF-LC-AI lung squamous cell carcinoma cell line	A comparsion of gene expression profiles between control- and maspin-overexpressing RERF-LC-AI cells was performed to investigate the role of cytoplasmic maspin in non-small cell lung cancer progression, especially squamous cell carcinoma progression. Thr data provides insight into the inprotance of cytoplasmic maspin in non-small cell lung cancer.		stably expression ZsGreen;RERF-LC-AI cells stably expression ZsGreen;stable expression of maspin and ZsGreen (Maspin-P2A-ZsGreen);RERF-LC-AI cells stably expression maspin and ZsGreen (Maspin-P2A-ZsGreen);lung squamous cell carcinoma cell line;RERF-LC-AI
GSE180628	True	[['serine']]	2021.07.27	Homo sapiens	GPL18573	True	False	24	Expression profiling by high throughput sequencing	False			Lipidomic profiling of clinical prostate cancer reveals targetable alterations in membrane lipid composition	Dysregulated lipid metabolism is a prominent feature of prostate cancer that is driven by androgen receptor (AR) signaling. Here we used quantitative mass spectrometry to define the “lipidome” in prostate tumors with matched benign tissues (n=21), independent unmatched tissues (n=47), and primary prostate explants cultured with the clinical AR antagonist enzalutamide (n=43). Significant differences in lipid composition were detected and spatially visualized in tumors compared to matched benign samples. Notably, tumors featured higher proportions of monounsaturated lipids overall and elongated fatty acid chains in phosphatidylinositol and phosphatidylserine lipids. Significant associations between lipid profile and malignancy were validated in unmatched samples, and phospholipid composition was characteristically altered in patient tissues that responded to AR inhibition. Importantly, targeting tumor-related lipid features via inhibition of acetyl-CoA carboxylase 1 significantly reduced cellular proliferation and induced apoptosis in tissue explants (n=13). This first characterization of the prostate cancer lipidome in clinical tissues reveals enhanced fatty acid synthesis, desaturation and elongation as tumor-defining features, with potential for therapeutic targeting.		Primary prostate tumour_10uM_enzalutamide;prostate cancer;Primary prostate tumour_DMSO;prostate;RNA (rRNA depleted)
GSE180627	True	[['periaqueductal'], ['thalamus'], ['glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia'], ['hippocampus'], ['amygdala'], ['cortex'], ['cortex'], ['cortex'], ['cortex'], ['thalam'], ['spinal', 'spinal', 'spinal', 'spinal', 'spinal', 'spinal'], ['nerve', 'nerve', 'nerve', 'nerve'], ['cortex'], ['frontal'], ['microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia'], ['hippocamp'], ['nerve', 'nerve', 'nerve', 'nerve'], ['cortex'], ['frontal'], ['microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia'], ['hippocamp'], ['nerve', 'nerve', 'nerve', 'nerve']]	2021.07.27	Mus musculus	GPL19057	True	False	96	Expression profiling by high throughput sequencing	False			Sex-specific transcriptome of spinal microglia in neuropathic pain due to peripheral nerve injury	Neuropathic pain is a prevalent and debilitating chronic disease that is characterized by activation in glial cells in various pain-related regions within the central nervous system. Recent studies have suggested a sexually dimorphic role of microglia in the maintenance of neuropathic pain in rodents. Here, we utilized RNA sequencing analysis of microglia to identify whether there is a common neuropathic microglial signature and characterize the sex differences in microglia in pain-related regions in nerve injury and chemotherapy-induced peripheral neuropathy mouse models. Whilst mechanical allodynia and behavioral changes were observed in all models, transcriptomic analysis of microglia revealed no common transcriptional changes in spinal and supraspinal regions and in different neuropathic models. However, there was a substantial change in microglial gene expression within the ipsilateral lumbar spinal cord 7-days after chronic constriction injury (CCI) of the sciatic nerve. Both sexes upregulated genes associated with inflammation, phagosome, and lysosome activation, though males revealed a prominent global transcriptional shift not observed in female mice. This study demonstrates a lack of a common neuropathic microglial signature and indicates distinct sex differences in spinal microglia, suggesting they contribute to the sex-specific pain processing following nerve injury.		Contralateral posterior thalamus and S1 (hindlimb);Sham;CCI;Prefrontal cortex, amygdala, hippocampus;Ipsilateral lumbar spinal cord (L3-5);Periaqueductal gray and rostroventral medulla;C57BL6;Microglia
GSE180444	False	[]	2021.07.27	Mus musculus	GPL24247	True	False	5	Expression profiling by high throughput sequencing	False			Seminal Plasma and Extracellular Vesicles of Aged Male Mouse affects Early embryo Implantation via immunomodulation	The seminal plasma (sp), especially the extracellular vesicles of seminal plasma (sEV) which change with age can affect the endometrial immune microenvironment of female mice. However, it is unclear whether the decline in fertility of reproductively old males is related to the alterations of the sp and sEV which may have compromised effect on the immune microenvironment of the female uterus. In this research, we found a decrease in the implantation rate of pseudo-pregnant female mice which was treated with sp from reproductively old male mice (aged-sp group) than sp from young male mice (young-sp group). RNA-sequence analysis revealed an increase in the expression level of local cytokines and chemokines in the uterus of aged-sp groups than those of young-sp groups. Further in vitro experiments found an induction of dendritic cells (DC) maturation in the aged-sp groups. After isolating and characterizing sEV in young and aged male mice, we perfused the uterus of aged-sp group with sEV from young male mice and found it could partially rescue the low implantation rate of the aged-sp group. Further in vitro experiments found an induction of DC maturation after treating with sEV from aged male mice than that from young male mice, which indicated an age-related activation effect of sp and sEV. In conclusion, we found sp and sEV from aged male mice could induce the maturation of DC, which compromised the microenvironment of female reproductive tract, therefore leading to a decrease in implantation rate.		6-8 weeks after birth;uterus;ICR
GSE180364	False	[]	2021.07.27	Mus musculus	GPL17021	True	False	16	Expression profiling by high throughput sequencing	False	GSE180810		Founder mice islet RNA profiling	RNA-seq data of founder mice pancreatic islets		NOD_ShiLtJ;pancreatic islet;PWK_PhJ;WSB_EiJ;CAST_EiJ;NZO_HlLtJ;129S1_SvImJ;Female;Male;A_J;C57BL/6J
